id,'name_city','id_state'
287,Tlalpan,9
288,Tlahuac,9
289,Venustiano Carranza,9
290,Xochimilco,9
291,Canatlan,10
292,Canelas,10
293,Coneto de Comonfort,10
294,Cuencame,10
295,Durango,10
296,El Oro,10
297,General Simon Bolivar,10
298,Gomez Palacio,10
299,Guadalupe Victoria,10
300,Guanacevi,10
301,Hidalgo,10
302,Inde,10
303,Lerdo,10
304,Mapimi,10
305,Mezquital,10
306,Nazas,10
307,Nombre de Dios,10
308,Nuevo Ideal,10
309,Ocampo,10
310,Otaez,10
311,Panuco de Coronado,10
312,Penon Blanco,10
313,Poanas,10
314,Pueblo Nuevo,10
315,Rodeo,10
316,San Bernardo,10
317,San Dimas,10
318,San Juan de Guadalupe,10
319,San Juan del Rio,10
320,San Luis del Cordero,10
321,San Pedro del Gallo,10
322,Santa Clara,10
323,Santiago Papasquiaro,10
324,Suchil,10
325,Tamazula,10
326,Tepehuanes,10
327,Tlahualilo,10
328,Topia,10
329,Vicente Guerrero,10
330,Canatlan,11
331,Canelas,11
332,Coneto de Comonfort,11
333,Cuencame,11
334,Durango,11
335,El Oro,11
336,General Simon Bolivar,
337,Gomez Palacio,11
338,Guadalupe Victoria,11
339,Guanacevi,11
340,Hidalgo,11
341,Inde,11
342,Lerdo,11
343,Mapimi,11
344,Mezquital,11
345,Nazas,11
346,Nombre de Dios,11
347,Nuevo Ideal,11
348,Ocampo,11
349,Otaez,11
350,Panuco de Coronado,11
351,Penon Blanco,11
352,Poanas,11
353,Pueblo Nuevo,11
354,Rodeo,11
355,San Bernardo,11
356,San Dimas,11
357,San Juan de Guadalupe,11
358,San Juan del Rio,11
359,San Luis del Cordero,11
360,San Pedro del Gallo,11
361,Santa Clara,11
362,Santiago Papasquiaro,11
363,Suchil,11
364,Tamazula,11
365,Tepehuanes,11
366,Tlahualilo,11
367,Topia,11
368,Vicente Guerrero,11
369,Acapulco de Juarez,12
370,Acatepec,12
371,Ahuacuotzingo,12
372,Ajuchitlan del Progreso,12
373,Alcozauca de Guerrero,12
374,Alpoyeca,12
375,Apaxtla,12
376,Arcelia,12
377,Atenango del Rio,12
378,Atlamajalcingo del Monte,12
379,Atlixtac,12
380,Atoyac de Alvarez,12
381,Ayutla de los Libres,12
382,Azoyu,12
383,Benito Juarez,12
384,Buenavista de Cuellar,12
385,Chilapa de Alvarez,12
386,Chilpancingo de los Bravo,12
387,Coahuayutla de Jose Maria Izazaga,12
388,Cochoapa el Grande,12
389,Cocula,12
390,Copala,12
